,name,continent
108,Jordan,Asia
109,Japan,Asia
110,Kazakstan,Asia
111,Kenya,Africa
112,Kyrgyzstan,Asia
113,Cambodia,Asia
114,Kiribati,Oceania
115,Saint Kitts and Nevis,North America
116,South Korea,Asia
117,Kuwait,Asia
118,Laos,Asia
119,Lebanon,Asia
120,Liberia,Africa
121,Libyan Arab Jamahiriya,Africa
122,Saint Lucia,North America
123,Liechtenstein,Europe
124,Sri Lanka,Asia
125,Lesotho,Africa
126,Lithuania,Europe
127,Luxembourg,Europe
128,Latvia,Europe
129,Macao,Asia
130,Morocco,Africa
131,Monaco,Europe
132,Moldova,Europe
133,Madagascar,Africa
134,Maldives,Asia
135,Mexico,North America
136,Marshall Islands,Oceania
137,Macedonia,Europe
138,Mali,Africa
139,Malta,Europe
140,Myanmar,Asia
141,Mongolia,Asia
142,Northern Mariana Islands,Oceania
143,Mozambique,Africa
144,Mauritania,Africa
145,Montserrat,North America
146,Martinique,North America
147,Mauritius,Africa
148,Malawi,Africa
149,Malaysia,Asia
150,Mayotte,Africa
151,Namibia,Africa
152,New Caledonia,Oceania
153,Niger,Africa
154,Norfolk Island,Oceania
155,Nigeria,Africa
156,Nicaragua,North America
157,Niue,Oceania
158,Netherlands,Europe
159,Norway,Europe
160,Nepal,Asia
161,Nauru,Oceania
162,New Zealand,Oceania
163,Oman,Asia
164,Pakistan,Asia
165,Panama,North America
166,Pitcairn,Oceania
167,Peru,South America
168,Philippines,Asia
169,Palau,Oceania
170,Papua New Guinea,Oceania
171,Poland,Europe
172,Puerto Rico,North America
173,North Korea,Asia
174,Portugal,Europe
175,Paraguay,South America
176,Palestine,Asia
177,French Polynesia,Oceania
178,Qatar,Asia
179,Reunion,Africa
180,Romania,Europe
181,Russian Federation,Europe
182,Rwanda,Africa
183,Saudi Arabia,Asia
184,Sudan,Africa
185,Senegal,Africa
186,Singapore,Asia
187,South Georgia and the South Sandwich Islands,Antarctica
188,Saint Helena,Africa
189,Svalbard and Jan Mayen,Europe
190,Solomon Islands,Oceania
191,Sierra Leone,Africa
192,El Salvador,North America
193,San Marino,Europe
194,Somalia,Africa
195,Saint Pierre and Miquelon,North America
196,Sao Tome and Principe,Africa
197,Suriname,South America
198,Slovakia,Europe
199,Slovenia,Europe
200,Sweden,Europe
201,Swaziland,Africa
202,Seychelles,Africa
203,Syria,Asia
204,Turks and Caicos Islands,North America
205,Chad,Africa
206,Togo,Africa
207,Thailand,Asia
208,Tajikistan,Asia
209,Tokelau,Oceania
210,Turkmenistan,Asia
211,East Timor,Asia
212,Tonga,Oceania
213,Trinidad and Tobago,North America
214,Tunisia,Africa
215,Turkey,Asia
216,Tuvalu,Oceania
217,Taiwan,Asia
218,Tanzania,Africa
219,uganda,Africa
220,ukraine,Europe
221,united States Minor Outlying Islands,Oceania
222,uruguay,South America
223,united States,North America
224,uzbekistan,Asia
225,Holy See (Vatican City State),Europe
226,Saint Vincent and the Grenadines,North America
227,Venezuela,South America
228,"Virgin Islands, British",North America
229,"Virgin Islands, u.S.",North America
230,Vietnam,Asia
231,Vanuatu,Oceania
232,Wallis and Futuna,Oceania
233,Samoa,Oceania
234,Yemen,Asia
235,Yugoslavia,Europe
236,South Africa,Africa
237,Zambia,Africa
238,Zimbabwe,Africa
